event,timestamp,frameId,width,height,source,deviceId,label,mirrored,message
"camera:frame","2025-08-29T03:36:41.613Z","280","640","480","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","false",""
"camera.mirror.toggled","2025-08-29T03:36:41.870Z","","","","","","","true",""
"camera:frame","2025-08-29T03:36:41.943Z","290","640","480","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:frame","2025-08-29T03:36:42.273Z","300","640","480","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:frame","2025-08-29T03:36:42.602Z","310","640","480","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:frame","2025-08-29T03:36:42.932Z","320","640","480","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:frame","2025-08-29T03:36:43.263Z","330","640","480","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:frame","2025-08-29T03:36:43.592Z","340","640","480","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:frame","2025-08-29T03:36:43.922Z","350","640","480","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:frame","2025-08-29T03:36:44.253Z","360","640","480","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:frame","2025-08-29T03:36:44.583Z","370","640","480","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
"camera:stopped","2025-08-29T03:36:44.767Z","","","","","","","",""
"camera:params","2025-08-29T03:36:45.659Z","","1280","720","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","","","",""
"camera:frame","2025-08-29T03:36:45.795Z","380","1280","720","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true",""
