event,timestamp,epochMs,frameId,width,height,fps,source,deviceId,label,mirrored,frameIntervalMs,message
"camera:frame","2025-08-29T03:59:19.035Z","1756439959035","210","640","480","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","329",""
"camera:frame","2025-08-29T03:59:19.366Z","1756439959366","220","640","480","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","331",""
"camera:frame","2025-08-29T03:59:19.697Z","1756439959697","230","640","480","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","331",""
"camera:frame","2025-08-29T03:59:20.026Z","1756439960026","240","640","480","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","329",""
"camera:frame","2025-08-29T03:59:20.356Z","1756439960356","250","640","480","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","330",""
"camera:frame","2025-08-29T03:59:20.686Z","1756439960686","260","640","480","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","330",""
"camera:frame","2025-08-29T03:59:21.015Z","1756439961015","270","640","480","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","329",""
"camera:frame","2025-08-29T03:59:21.345Z","1756439961345","280","640","480","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","330",""
"camera:frame","2025-08-29T03:59:21.679Z","1756439961679","290","640","480","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","334",""
"camera:stopped","2025-08-29T03:59:21.887Z","1756439961887","","","","30","","","","","",""
"camera:params","2025-08-29T03:59:22.758Z","1756439962758","","1280","720","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","","","","",""
"camera:frame","2025-08-29T03:59:22.863Z","1756439962863","300","1280","720","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","1184",""
"camera:frame","2025-08-29T03:59:23.194Z","1756439963194","310","1280","720","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","331",""
"camera:frame","2025-08-29T03:59:23.523Z","1756439963523","320","1280","720","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","329",""
"camera:frame","2025-08-29T03:59:23.853Z","1756439963853","330","1280","720","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","330",""
"camera:frame","2025-08-29T03:59:24.184Z","1756439964184","340","1280","720","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","331",""
"camera:stopped","2025-08-29T03:59:24.269Z","1756439964269","","","","30","","","","","",""
"camera:params","2025-08-29T03:59:25.173Z","1756439965173","","320","240","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","","","","",""
"camera:frame","2025-08-29T03:59:25.411Z","1756439965411","350","320","240","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","1227",""
"camera:frame","2025-08-29T03:59:25.740Z","1756439965740","360","320","240","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","329",""
"camera:frame","2025-08-29T03:59:26.070Z","1756439966070","370","320","240","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","330",""
"camera:frame","2025-08-29T03:59:26.400Z","1756439966400","380","320","240","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","330",""
"camera:frame","2025-08-29T03:59:26.731Z","1756439966731","390","320","240","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","331",""
"camera:frame","2025-08-29T03:59:27.061Z","1756439967061","400","320","240","30","device:3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","3b1143e89b9e27de3ff0d88cf0106a165d162a7d09c00c0a49143baf98a425d1","HD Pro Webcam C920 (046d:082d)","true","330",""
